Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
MTCH1,,NORTHERN YORK CNTY PÅ,2023-10-25,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2023-11-13,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
MTCH1,,NORTHERN YORK CNTY PA,2023-10-25,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2023-11-13,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
JASN1,,JACKSONVILLE FLA SPL REV,2023-09-14,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2023-10-18,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
JASN1,,JACKSONVILLE FLA SPL REV,2023-09-14,Purchase,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2023-10-18,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
AIC1,,MSD INVESTMENT CORP,2023-08-07,Purchase,"$100,001 - $250,000",,,,Michael T. McCaul,M001157,2023-09-14,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-07-20,Purchase,"$100,001 - $250,000",,,,Michael T. McCaul,M001157,2023-08-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-07-20,Purchase,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-08-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
USBC1,,¡U.S. BANCORP HYBRID PERPETUAL USD,2023-07-06,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2023-07-11,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
USBC1,,US BANCORP HYBRID 02/01/2029,2023-06-28,Sale,"$1,001 - $15,000",,,,Ro Khanna,K000389,2023-07-11,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
USBC1,,U.S. BANCORP HYBRID PERPETUAL -USD,2023-06-07,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2023-07-11,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
USBC1,,U.S. BANCORP HYBRID PERPETUAL USD,2023-04-27,Purchase,"$1,001 - $15,000",,,,Ro Khanna,K000389,2023-05-08,D,,House,Handfiled Trade,2025-05-20,,California,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-21,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-21,Sale,"$50,001 - $100,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
WB1,,SCHWAB CHARLES CORP NEW,2023-04-21,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2023-05-12,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
